station_name,avg_temp,rainfall,wind_speed,air_pressure
Pamban,29.12163121,5.548844221,19.49394755,1009.064694
Panagarh / P?n?garh,25.59161636,3.879745137,8.544869215,1008.261771
Pantnagar,22.98274009,3.722699799,8.536467428,1008.576696
Paradip C. W. R.,26.64304903,4.25399597,12.74016118,1008.236602
Parangipettai,28.21328273,6.465045455,13.29717931,1008.935057
Parbhani,26.5892905,2.841113347,8.835930154,1009.120954
Pasighat,24.00999679,14.40678246,5.086165212,1009.862122
Pathankot / Path?nkot,21.35287061,2.920394173,7.798114824,1009.567009
Patiala,23.67551518,3.628500452,7.207991941,1009.112827
Patna,25.72677699,4.25736166,6.6275,1007.309794
Pbo Raipur,26.98420221,3.690811536,6.801074547,1008.439288
Pendra Road,24.36732593,5.547423621,6.786501007,1009.138818
Periakulum / Ellakkal,25.07276395,7.408876933,10.6733692,1012.84351
Phalodi,26.4934943,0.729415715,13.83364674,1008.541169
Pilani,24.60161182,1.427736736,9.865144392,1008.828475
Pondicherry / Auroville,28.10967742,6.5189005,13.51248322,1009.112148
Poona,24.8041441,4.032836495,7.938616521,1010.128274
Poona / Lohogaon Aerodrome,24.76405742,3.593766938,11.02605776,1010.516857
Porbandar,26.95842797,4.522808928,15.67850907,1009.423976
Port Blair,27.37301029,10.29521868,12.54026846,1009.609195
Port Blair / Portblair / Austin?b?d,27.67788305,9.338769459,11.88932886,1009.212685
Punalur,25.97242771,7.822864829,9.066980498,1010.088164
Puri,27.64475022,6.911304757,11.72531901,1008.120752
Purnea,25.46719688,6.829691328,8.22607362,1008.291028
Purulia,24.94197448,3.573942243,8.614170584,1008.4364
Qazi Gund,20.74528012,4.273829624,4.147505756,1015.323331
Raichur,27.20349228,2.737273338,11.37951645,1009.452451
Raipur / Phundardih,26.98420221,3.690811536,6.801074547,1008.439288
Raisen,23.52655602,2.533056133,10.02785863,1010.848441
Rajahmundry / R?j?nagaram,28.23138441,3.943010753,11.15497312,1008.303091
Rajgarh,25.06366689,3.364405641,9.3,1009.162794
Rajkot,27.51806347,5.315289488,12.25342282,1009.073674
Rajnandgaon / R?j N?ndgaon,25.66729349,3.546944258,8.719140363,1008.737743
Ramgundam,27.7770252,5.364761905,6.429415715,1008.241236
Rampur,23.36618098,3.125460123,9.56648773,1008.55092
Ranchi / Silwai,24.07281369,5.539964318,5.510549944,1010.283567
Rangia,23.84036266,9.219476158,7.854466085,1008.809537
Ratlam,24.69355272,3.146608462,11.22766958,1009.584956
Ratnagiri,27.21205309,15.21584676,12.25218267,1009.406514
Raxaul,23.68735709,4.493745797,8.493207801,1008.477337
Rentachintala,28.47266622,2.731900604,9.692209537,1008.409872
Rewa,24.72572196,2.854197448,8.541773002,1008.767629
Rohtak,25.10621166,1.801303681,9.044171779,1008.579064
Rourkela,26.22860429,4.504141104,8,1008.470475
Sabaur,25.36261261,4.514574315,9.064472801,1008.088919
Sagar,25.25290233,5.061720905,7.822162525,1008.880322
Salem,27.8545045,4.005595787,8.033736559,1010.153024
Sambalpur,28.6082471,5.984233365,7.21142638,1008.168405
Sangli,26.41624161,2.778576226,10.26756212,1010.035863
Satara,24.07139019,2.646541303,8.639623909,1010.438281
Satna,25.52995655,5.051602104,6.54674278,1008.453526
